Information Resource, URL, Family Member Last Name, Family Member First Name, Recording Title, Author, Publication Date
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=0&bibId=3653823 , Baptiste, Milton, New Orleans 2nd line [sound recording]., N/A, 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=0&bibId=3653823 , Batiste, Lionel, New Orleans 2nd line [sound recording]., N/A, 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=0&bibId=3653823 , Batiste, Uncle Lionel, New Orleans 2nd line [sound recording]., N/A, 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=1&bibId=3712956 , Batiste, N/A, The wildest clan [sound recording] ; plus Apache! : the definitive remastered edition / starring Sam Butera and The Witnesses., N/A, 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=1&bibId=3712956 , Batiste, N/A, The wildest clan [sound recording] ; plus Apache! : the definitive remastered edition / starring Sam Butera and The Witnesses., N/A, 2016
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=2&bibId=3538550 , Batiste, Ryan, Hot off the press! [sound recording] / Red Hot Brass Band., N/A, 2015
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=4&bibId=3335647 , Batiste, Terrell, Bring on the ruckus [sound recording] / The Most Wanted Brass Band., N/A, 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=5&bibId=3528810 , Battiste, Harold, Gold Coast jazz. Volume 1 [sound recording]., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=5&bibId=3528810 , Batiste, Alvin, Gold Coast jazz. Volume 1 [sound recording]., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=6&bibId=3315499 , Batiste, Lionel Stinky Jr., The same pocket. Vol. 3 [sound recording] : the Maple Leaf sessions / the BlueBrass Project., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=6&bibId=3315499 , Batiste, Lionel Stinky, The same pocket. Vol. 3 [sound recording] : the Maple Leaf sessions / the BlueBrass Project., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=7&bibId=3335697 , Batiste, Russell, Soul understanding [sound recording] / Joe Krown  Walter Wolfman Washington  Russell Batiste Jr., American Jazz Quintet  composer  performer., 2013
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=8&bibId=3315337 , Batiste, Terrell, The life & times of [sound recording] / the Hot 8 Brass Band., Hot 8 Brass Band., 2012
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=9&bibId=3408417 , Batiste, Russell, WWOZ on CD. Peak performance [sound recording]., Hot 8 Brass Band., 2012
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=10&bibId=3369609 , Batiste, Russell, Let it burn [sound recording] / Ruthie Foster., Foster  Ruthie., 2011
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=12&bibId=2781099 , Batiste, Russell, Follow your dreams [sound recording] / Russell Batiste and Friends., Russell Batiste and Friends., 2010
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=12&bibId=2781099 , Batiste, Russell Jr., Follow your dreams [sound recording] / Russell Batiste and Friends., Russell Batiste and Friends., 2010
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=13&bibId=3528847 , Batiste, Jamal, Just Jamal [sound recording] : the unorthodox drummer., Batiste  Jamal  composer  performer., 2010
