Title, Authors, Participant/Performer, Contents, Other_Authors,
"New Orleans 2nd line [sound recording].
",N/A,N/A,"Intro to Wynton Marsalis' 2nd Line (with Treme, Hurricane, Magnolia Brass Bands and Milton Baptiste) -- Casa samba -- Wynton Marsalis' 2nd Line -- By and by -- Little Liza James -- Harold Dejan, George “Sheik” Colar, Matthew “Fats” Houston, Anderson Minor, Booker T. Glass, Louis Nelson, Lloyd Walters ""1:13"" -- Go to the Mardi Gras -- Tell em' what you want/Fly away -- Wynton Marsalis' 2nd Line When the saints go marching in -- Wynton Marsalis/Jesse Jackson Dancin' Wrapping Up 2nd Line -- What a wonderful life (Bogalousa Brass Band) -- Uncle Lionel Batiste.
","George, Rufus, narrator.

Marsalis, Wynton, 1961- performer.

Batiste, Milton, performer.

Batiste, Lionel, 1932-2012, interviewee.

Wynton Marsalis' 2nd Line (Musical group), performer.

Treme Brass Band, performer.

Hurricane Brass Band, performer.

Magnolia Brass Band, performer.

Wynton Marsalis/Jesse Jackson Dancin' Wrapping Up 2nd Line (Musical group), performer.

Bogalousa Brass Band, performer.

"
"The wildest clan [sound recording] ; plus Apache! : the definitive remastered edition / starring Sam Butera and The Witnesses.
",N/A,"Sam Butera, saxophone, vocals ; with, variously: The Witnesses (variously: Robin Roberts, guitar, vocals ; Rolondo ""Rolly-Dee"" Diloria, bass, vocals ; Tony Liuizza, bass ; John Nagy, piano ; Bobby Morris, drums ; Lou Sino, trombone, vocals) ; Mike Carruba, Heywoord Henry, saxophone ; Paul Herman, Rupert Copponex, trumpet ; Jimmy Blount, trombone ; Paul Gayten, piano ; Frankie Parker, drums ; Leroy Kirkland, guitar, vocals ; Al Hall, bass, vocals ; Thomas Maxfield, piano, vocals ; Dick Johnson, drums, vocals ; Lucien O'Jordan, bass ; Joseph Q. Batiste, piano ; Louis F. Kohlman, , drums.
",N/A,N/A
"Hot off the press! [sound recording] / Red Hot Brass Band.
",N/A,"Red Hot Brass Band (Doyle ""Red"" Cooper, trumpet ; Nick Ellman, reeds ; Adrian Rotondo-McCord, trombone ; Miles Lyons, sousaphone ; Jose Bravo, bass drum ; Ryan Batiste, drums).
",N/A,N/A
"The Treme posse [sound recording] / The Batiste Mardi Gras Indians.
",N/A,"The Most Wanted Brass Band (Travis Carter, tuba ; Larry Brown, Lamar Heard, Jarreau Couzin Fournett, trombones ; Terrell Batiste, Kraig Dixon, trumpets ; Joe Glasper, bass drum ; Errol Marchand, Jr., snare drum ; Clifton Haston, saxophone).
",N/A,"Batiste Mardi Gras Indians, performer.

"
"Bring on the ruckus [sound recording] / The Most Wanted Brass Band.
",N/A,"American Jazz Quintet (Ellis Marsalis, Jr., piano ; Harold Battiste, tenor sax ; Alvin Batiste, clarinet ; Ed Blackwell, drums ; Richard Payne and William Swanson, bass).
",N/A,N/A
"Gold Coast jazz. Volume 1 [sound recording].
","Russell Batiste and Friends.

","The BlueBrass Project (featuring: Lionel ""Stinky"" Batiste, Jr., bass drum ; Kirk ""SousaFonk"" Joseph, sousaphone ; Ajay ""Pink Panther"" Mallory, snare drum ; Jason ""Da Bear"" Krekel, mandolin, fiddle, lead vocals ; Larry ""Blackbeard"" Keel, acoustic guitar, vocals ; Jenny ""The Rock"" Keel, electric bass, background vocals ; Woody ""Sir Wink-a-Lot"" Wood, electric guitar, lead vocals ; Bryon ""Sluder"" McMurry, banjo, acoustic guitar (track 8), vocals ; Boubacaar ""Chuck"" Cisokko, kora, djun djun, lead vocals (track 5) ; Khris ""Bandana"" Royal, alto saxophone (track 7) ; Big Chief Joseph ""Monk"" Boudreaux, percussion, lead vocals (track 7) ; Gang Flag ""Honey"" Bannister, tom tom, percussion (tracks 6-7)).
",N/A,N/A
"The same pocket. Vol. 3 [sound recording] : the Maple Leaf sessions / the BlueBrass Project.
","Batiste, Jamal, composer, performer.

","Joe Krown, Hammond B-3 organ; Walter Wolfman Washington, guitar & vocals; Russell Batiste Jr., drums & background vocals.
",N/A,N/A
"Soul understanding [sound recording] / Joe Krown, Walter Wolfman Washington, Russell Batiste Jr.
",N/A,"Hot 8 Brass Band (Bennie Pete, tuba ; Gregory Veals, Corey Payton, trombone ; Raymond Williams, Terrell Batiste, trumpet ; Wendell Stewart, saxophone ; Harry Cook, bass drum ; Sammy Cyrus, snare drum) ; featuring, variously: Troy ""Trombone Shorty"" Andrews, Dwaynne Finny, Jerreau Fournett, trombones ; Shamarr Allen, trumpet ; Takashi Matsumura, guitar ; Clarence Slaughter, John Gilbert, saxophone.
","Trio's anthem / Russell Batiste Jr. -- Lone ranger / Johnny Watson -- Soul understanding / Joe Krown -- Never ever let you go / Walter Washington -- Jamir's jam / Russell Batiste Jr. -- Another day in the life / Joe Krown -- Lovely day / Walter Washington -- Simply Milani / Russell Batiste Jr. -- Nothing left to be desired / Johnny Watson -- Livin' large / Joe Krown -- Amy / Russell Batiste Jr. -- Just us / Walter Washington
","Krown, Joe, composer, instrumentalist.

Washington, Walter, composer, instrumentalist, singer.

Batiste, Russell, 1965- composer, instrumentalist, singer.

Watson, Johnny ""Guitar"", 1935-1996, composer.

"
"The life & times of [sound recording] / the Hot 8 Brass Band.
",N/A,N/A,N/A,N/A
"WWOZ on CD. Peak performance [sound recording].
",N/A,"Louisiana Philharmonic Orchestra ; Carlos Miguel Prieto, musical director and conductor ; Thomas Wilkins, guest conductor ; Joseph Meyer, violin ; Jean-Baptiste Monnot, organ and piano ; Kisma Jordan, soprano ; Phumzile Sojola, tenor ; Walter Harris Jr., speaker.
","It's almost like being in love (Germaine Bazzle) (3:55) -- When I die (The Revivalists) (4:31) -- Squash blossom (Stanton Moore Trio) (5:25) -- Rock me baby (Chubby Carrier & the Bayou Swamp Band) (6:56) -- Last two dollars (Joe Krown, Walter ""Wolfman"" Washington, Russell Batiste Jr.) (7:39) -- Black lace Freudian slip (Rene Marie) (13:40) -- Rainha do mar-maracatu (Carlos Malta Quartet) (13:13) -- Broadway (Betty Shirley) (5:38).
","Bazzle, Germaine, singer.

Carrier, Chubby, instrumentalist.

Krown, Joe, instrumentalist.

Washington, Walter, instrumentalist.

Batiste, Russell, 1965- instrumentalist.

Marie, René, 1955- singer.

Shirley, Betty, singer.

Revivalists (Musical group), performer.

Stanton Moore Trio, performer.

Bayou Swamp Band, performer.

Carlos Malta Quartet, performer.

WWOZ (Radio station : New Orleans, La.), sponsoring body.

"
